Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Rashaad Penny (15905029),Rashaad Penny,15905029,RB/FLEX,4000,NYJ@SEA 12/13/2020 04:05PM ET,SEA,0
RB,Nick Bellore (15905031),Nick Bellore,15905031,RB/FLEX,4000,NYJ@SEA 12/13/2020 04:05PM ET,SEA,0.4
RB,Frank Gore (15905033),Frank Gore,15905033,RB/FLEX,4000,NYJ@SEA 12/13/2020 04:05PM ET,NYJ,6.52
RB,La'Mical Perine (15905035),La'Mical Perine,15905035,RB/FLEX,4000,NYJ@SEA 12/13/2020 04:05PM ET,NYJ,5.23
QB,Nathan Peterman (15904862),Nathan Peterman,15904862,QB,4000,IND@LV 12/13/2020 04:05PM ET,LV,1.9
QB,Jacob Eason (15904863),Jacob Eason,15904863,QB,4000,IND@LV 12/13/2020 04:05PM ET,IND,0
RB,Jalen Richard (15905015),Jalen Richard,15905015,RB/FLEX,4000,IND@LV 12/13/2020 04:05PM ET,LV,3.8
RB,Theo Riddick (15905017),Theo Riddick,15905017,RB/FLEX,4000,IND@LV 12/13/2020 04:05PM ET,LV,1.6
RB,Alec Ingold (15905019),Alec Ingold,15905019,RB/FLEX,4000,IND@LV 12/13/2020 04:05PM ET,LV,2.82
RB,Jordan Wilkins (15905021),Jordan Wilkins,15905021,RB/FLEX,4000,IND@LV 12/13/2020 04:05PM ET,IND,5.42
RB,Marlon Mack (15905023),Marlon Mack,15905023,RB/FLEX,4000,IND@LV 12/13/2020 04:05PM ET,IND,8.6
WR,Hunter Renfrow (15905241),Hunter Renfrow,15905241,WR/FLEX,4000,IND@LV 12/13/2020 04:05PM ET,LV,9.13
QB,Kyle Allen (15904858),Kyle Allen,15904858,QB,4000,WAS@SF 12/13/2020 04:25PM ET,WAS,11.75
RB,Bryce Love (15905005),Bryce Love,15905005,RB/FLEX,4000,WAS@SF 12/13/2020 04:25PM ET,WAS,0
RB,Jeff Wilson Jr. (15905007),Jeff Wilson Jr.,15905007,RB/FLEX,4000,WAS@SF 12/13/2020 04:25PM ET,SF,10.53
RB,Austin Walter (15905009),Austin Walter,15905009,RB/FLEX,4000,WAS@SF 12/13/2020 04:25PM ET,SF,2
RB,JaMycal Hasty (15905011),JaMycal Hasty,15905011,RB/FLEX,4000,WAS@SF 12/13/2020 04:25PM ET,SF,4.44
RB,Kyle Juszczyk (15905013),Kyle Juszczyk,15905013,RB/FLEX,4000,WAS@SF 12/13/2020 04:25PM ET,SF,4.27
QB,Nate Sudfeld (15904860),Nate Sudfeld,15904860,QB,4000,NO@PHI 12/13/2020 04:25PM ET,PHI,0
