,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
49,RB,Devontae Booker (15904925),Devontae Booker,15904925,RB/FLEX,5300,IND@LV 12/13/2020 04:05PM ET,LV,6.74
50,RB,David Johnson (15904929),David Johnson,15904929,RB/FLEX,5200,HOU@CHI 12/13/2020 01:00PM ET,HOU,11.81
51,RB,Melvin Gordon III (15904933),Melvin Gordon III,15904933,RB/FLEX,5200,DEN@CAR 12/13/2020 01:00PM ET,DEN,13.03
52,RB,Nyheim Hines (15904931),Nyheim Hines,15904931,RB/FLEX,5200,IND@LV 12/13/2020 04:05PM ET,IND,12.6
53,RB,Carlos Hyde (15904935),Carlos Hyde,15904935,RB/FLEX,5100,NYJ@SEA 12/13/2020 04:05PM ET,SEA,8.63
54,RB,Adrian Peterson (15904937),Adrian Peterson,15904937,RB/FLEX,5000,GB@DET 12/13/2020 04:25PM ET,DET,8.74
55,RB,Giovani Bernard (15904939),Giovani Bernard,15904939,RB/FLEX,5000,DAL@CIN 12/13/2020 01:00PM ET,CIN,9.28
56,RB,J.D. McKissic (15904941),J.D. McKissic,15904941,RB/FLEX,4900,WAS@SF 12/13/2020 04:25PM ET,WAS,10.41
57,RB,Tevin Coleman (15904945),Tevin Coleman,15904945,RB/FLEX,4900,WAS@SF 12/13/2020 04:25PM ET,SF,2.58
58,RB,Boston Scott (15904943),Boston Scott,15904943,RB/FLEX,4900,NO@PHI 12/13/2020 04:25PM ET,PHI,6.63
59,RB,Duke Johnson (15904949),Duke Johnson,15904949,RB/FLEX,4800,HOU@CHI 12/13/2020 01:00PM ET,HOU,7.75
60,RB,Salvon Ahmed (15904947),Salvon Ahmed,15904947,RB/FLEX,4800,KC@MIA 12/13/2020 01:00PM ET,MIA,10.73
61,RB,Todd Gurley II (15904951),Todd Gurley II,15904951,RB/FLEX,4800,ATL@LAC 12/13/2020 04:25PM ET,ATL,13.2
62,RB,Ty Johnson (15904953),Ty Johnson,15904953,RB/FLEX,4700,NYJ@SEA 12/13/2020 04:05PM ET,NYJ,4.64
63,RB,Chase Edmonds (15904955),Chase Edmonds,15904955,RB/FLEX,4600,ARI@NYG 12/13/2020 01:00PM ET,ARI,11.32
64,RB,Devonta Freeman (15904957),Devonta Freeman,15904957,RB/FLEX,4600,ARI@NYG 12/13/2020 01:00PM ET,NYG,7.2
65,RB,Leonard Fournette (15904959),Leonard Fournette,15904959,RB/FLEX,4500,MIN@TB 12/13/2020 01:00PM ET,TB,10.36
66,RB,Le'Veon Bell (15904963),Le'Veon Bell,15904963,RB/FLEX,4400,KC@MIA 12/13/2020 01:00PM ET,KC,6.2
67,RB,Jerick McKinnon (15904965),Jerick McKinnon,15904965,RB/FLEX,4400,WAS@SF 12/13/2020 04:25PM ET,SF,10.38
68,DST,Saints  (15905733),Saints ,15905733,DST,3800,NO@PHI 12/13/2020 04:25PM ET,NO,8.25
69,DST,Chiefs  (15905734),Chiefs ,15905734,DST,3500,KC@MIA 12/13/2020 01:00PM ET,KC,7.17
70,DST,Packers  (15905735),Packers ,15905735,DST,3300,GB@DET 12/13/2020 04:25PM ET,GB,5.92
71,DST,Colts  (15905736),Colts ,15905736,DST,3200,IND@LV 12/13/2020 04:05PM ET,IND,9.5
72,DST,Titans  (15905737),Titans ,15905737,DST,3100,TEN@JAX 12/13/2020 01:00PM ET,TEN,4.25
73,DST,Bears  (15905739),Bears ,15905739,DST,3000,HOU@CHI 12/13/2020 01:00PM ET,CHI,5.42
74,DST,Seahawks  (15905738),Seahawks ,15905738,DST,3000,NYJ@SEA 12/13/2020 04:05PM ET,SEA,5.83
75,DST,Panthers  (15905741),Panthers ,15905741,DST,2900,DEN@CAR 12/13/2020 01:00PM ET,CAR,5.83
76,DST,Buccaneers  (15905740),Buccaneers ,15905740,DST,2900,MIN@TB 12/13/2020 01:00PM ET,TB,7.5
77,DST,Dolphins  (15905743),Dolphins ,15905743,DST,2800,KC@MIA 12/13/2020 01:00PM ET,MIA,9.67
78,DST,WAS Football Team  (15905742),WAS Football Team ,15905742,DST,2800,WAS@SF 12/13/2020 04:25PM ET,WAS,6.83
79,DST,Cardinals  (15905744),Cardinals ,15905744,DST,2700,ARI@NYG 12/13/2020 01:00PM ET,ARI,5.58
80,DST,49ers  (15905745),49ers ,15905745,DST,2700,WAS@SF 12/13/2020 04:25PM ET,SF,5.92
81,DST,Texans  (15905747),Texans ,15905747,DST,2600,HOU@CHI 12/13/2020 01:00PM ET,HOU,4.08
82,DST,Giants  (15905746),Giants ,15905746,DST,2600,ARI@NYG 12/13/2020 01:00PM ET,NYG,7.42
83,DST,Chargers  (15905748),Chargers ,15905748,DST,2600,ATL@LAC 12/13/2020 04:25PM ET,LAC,4.25
84,DST,Broncos  (15905749),Broncos ,15905749,DST,2500,DEN@CAR 12/13/2020 01:00PM ET,DEN,4.67
85,DST,Raiders  (15905750),Raiders ,15905750,DST,2500,IND@LV 12/13/2020 04:05PM ET,LV,3.25
86,DST,Cowboys  (15905751),Cowboys ,15905751,DST,2400,DAL@CIN 12/13/2020 01:00PM ET,DAL,2.54
87,DST,Falcons  (15905752),Falcons ,15905752,DST,2400,ATL@LAC 12/13/2020 04:25PM ET,ATL,5.17
88,DST,Vikings  (15905753),Vikings ,15905753,DST,2300,MIN@TB 12/13/2020 01:00PM ET,MIN,4.83
89,DST,Bengals  (15905754),Bengals ,15905754,DST,2300,DAL@CIN 12/13/2020 01:00PM ET,CIN,2.92
90,DST,Jaguars  (15905756),Jaguars ,15905756,DST,2200,TEN@JAX 12/13/2020 01:00PM ET,JAX,4.42
91,DST,Eagles  (15905755),Eagles ,15905755,DST,2200,NO@PHI 12/13/2020 04:25PM ET,PHI,6.67
92,DST,Jets  (15905757),Jets ,15905757,DST,2100,NYJ@SEA 12/13/2020 04:05PM ET,NYJ,4.08
93,DST,Lions  (15905758),Lions ,15905758,DST,2000,GB@DET 12/13/2020 04:25PM ET,DET,2.83
94,TE,Travis Kelce (15905501),Travis Kelce,15905501,TE/FLEX,7400,KC@MIA 12/13/2020 01:00PM ET,KC,21.3
95,TE,Darren Waller (15905503),Darren Waller,15905503,TE/FLEX,6800,IND@LV 12/13/2020 04:05PM ET,LV,16.52
96,TE,T.J. Hockenson (15905507),T.J. Hockenson,15905507,TE/FLEX,5000,GB@DET 12/13/2020 04:25PM ET,DET,12.12
97,TE,Rob Gronkowski (15905509),Rob Gronkowski,15905509,TE/FLEX,4800,MIN@TB 12/13/2020 01:00PM ET,TB,9.54
98,TE,Mike Gesicki (15905511),Mike Gesicki,15905511,TE/FLEX,4500,KC@MIA 12/13/2020 01:00PM ET,MIA,9.98
99,TE,Hunter Henry (15905513),Hunter Henry,15905513,TE/FLEX,4400,ATL@LAC 12/13/2020 04:25PM ET,LAC,9.81
100,TE,Evan Engram (15905515),Evan Engram,15905515,TE/FLEX,4300,ARI@NYG 12/13/2020 01:00PM ET,NYG,9.58
101,TE,Robert Tonyan (15905517),Robert Tonyan,15905517,TE/FLEX,4200,GB@DET 12/13/2020 04:25PM ET,GB,12.61
102,TE,Noah Fant (15905519),Noah Fant,15905519,TE/FLEX,4100,DEN@CAR 12/13/2020 01:00PM ET,DEN,9.74
103,TE,Dallas Goedert (15905521),Dallas Goedert,15905521,TE/FLEX,4000,NO@PHI 12/13/2020 04:25PM ET,PHI,12.05
104,TE,Jonnu Smith (15905523),Jonnu Smith,15905523,TE/FLEX,3900,TEN@JAX 12/13/2020 01:00PM ET,TEN,11.19
105,TE,Jared Cook (15905525),Jared Cook,15905525,TE/FLEX,3800,NO@PHI 12/13/2020 04:25PM ET,NO,7.76
106,TE,Zach Ertz (15905529),Zach Ertz,15905529,TE/FLEX,3700,NO@PHI 12/13/2020 04:25PM ET,PHI,7.84
