,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
113,WR,Laviska Shenault Jr. (15905237),Laviska Shenault Jr.,15905237,WR/FLEX,4100,TEN@JAX 12/13/2020 01:00PM ET,JAX,9.62
114,WR,Denzel Mims (15905235),Denzel Mims,15905235,WR/FLEX,4100,NYJ@SEA 12/13/2020 04:05PM ET,NYJ,8.9
115,DST,Saints  (15905733),Saints ,15905733,DST,3800,NO@PHI 12/13/2020 04:25PM ET,NO,8.25
116,DST,Chiefs  (15905734),Chiefs ,15905734,DST,3500,KC@MIA 12/13/2020 01:00PM ET,KC,7.17
117,DST,Packers  (15905735),Packers ,15905735,DST,3300,GB@DET 12/13/2020 04:25PM ET,GB,5.92
118,DST,Colts  (15905736),Colts ,15905736,DST,3200,IND@LV 12/13/2020 04:05PM ET,IND,9.5
119,DST,Titans  (15905737),Titans ,15905737,DST,3100,TEN@JAX 12/13/2020 01:00PM ET,TEN,4.25
120,DST,Bears  (15905739),Bears ,15905739,DST,3000,HOU@CHI 12/13/2020 01:00PM ET,CHI,5.42
121,DST,Seahawks  (15905738),Seahawks ,15905738,DST,3000,NYJ@SEA 12/13/2020 04:05PM ET,SEA,5.83
122,DST,Panthers  (15905741),Panthers ,15905741,DST,2900,DEN@CAR 12/13/2020 01:00PM ET,CAR,5.83
123,DST,Buccaneers  (15905740),Buccaneers ,15905740,DST,2900,MIN@TB 12/13/2020 01:00PM ET,TB,7.5
124,DST,Dolphins  (15905743),Dolphins ,15905743,DST,2800,KC@MIA 12/13/2020 01:00PM ET,MIA,9.67
125,DST,WAS Football Team  (15905742),WAS Football Team ,15905742,DST,2800,WAS@SF 12/13/2020 04:25PM ET,WAS,6.83
126,DST,Cardinals  (15905744),Cardinals ,15905744,DST,2700,ARI@NYG 12/13/2020 01:00PM ET,ARI,5.58
127,DST,49ers  (15905745),49ers ,15905745,DST,2700,WAS@SF 12/13/2020 04:25PM ET,SF,5.92
128,DST,Texans  (15905747),Texans ,15905747,DST,2600,HOU@CHI 12/13/2020 01:00PM ET,HOU,4.08
129,DST,Giants  (15905746),Giants ,15905746,DST,2600,ARI@NYG 12/13/2020 01:00PM ET,NYG,7.42
130,DST,Chargers  (15905748),Chargers ,15905748,DST,2600,ATL@LAC 12/13/2020 04:25PM ET,LAC,4.25
131,DST,Broncos  (15905749),Broncos ,15905749,DST,2500,DEN@CAR 12/13/2020 01:00PM ET,DEN,4.67
132,DST,Raiders  (15905750),Raiders ,15905750,DST,2500,IND@LV 12/13/2020 04:05PM ET,LV,3.25
133,DST,Cowboys  (15905751),Cowboys ,15905751,DST,2400,DAL@CIN 12/13/2020 01:00PM ET,DAL,2.54
134,DST,Falcons  (15905752),Falcons ,15905752,DST,2400,ATL@LAC 12/13/2020 04:25PM ET,ATL,5.17
135,DST,Vikings  (15905753),Vikings ,15905753,DST,2300,MIN@TB 12/13/2020 01:00PM ET,MIN,4.83
136,DST,Bengals  (15905754),Bengals ,15905754,DST,2300,DAL@CIN 12/13/2020 01:00PM ET,CIN,2.92
137,DST,Jaguars  (15905756),Jaguars ,15905756,DST,2200,TEN@JAX 12/13/2020 01:00PM ET,JAX,4.42
138,DST,Eagles  (15905755),Eagles ,15905755,DST,2200,NO@PHI 12/13/2020 04:25PM ET,PHI,6.67
139,DST,Jets  (15905757),Jets ,15905757,DST,2100,NYJ@SEA 12/13/2020 04:05PM ET,NYJ,4.08
140,DST,Lions  (15905758),Lions ,15905758,DST,2000,GB@DET 12/13/2020 04:25PM ET,DET,2.83
141,TE,Travis Kelce (15905501),Travis Kelce,15905501,TE/FLEX,7400,KC@MIA 12/13/2020 01:00PM ET,KC,21.3
142,TE,Darren Waller (15905503),Darren Waller,15905503,TE/FLEX,6800,IND@LV 12/13/2020 04:05PM ET,LV,16.52
143,TE,T.J. Hockenson (15905507),T.J. Hockenson,15905507,TE/FLEX,5000,GB@DET 12/13/2020 04:25PM ET,DET,12.12
144,TE,Rob Gronkowski (15905509),Rob Gronkowski,15905509,TE/FLEX,4800,MIN@TB 12/13/2020 01:00PM ET,TB,9.54
145,TE,Mike Gesicki (15905511),Mike Gesicki,15905511,TE/FLEX,4500,KC@MIA 12/13/2020 01:00PM ET,MIA,9.98
146,TE,Hunter Henry (15905513),Hunter Henry,15905513,TE/FLEX,4400,ATL@LAC 12/13/2020 04:25PM ET,LAC,9.81
147,TE,Evan Engram (15905515),Evan Engram,15905515,TE/FLEX,4300,ARI@NYG 12/13/2020 01:00PM ET,NYG,9.58
148,TE,Robert Tonyan (15905517),Robert Tonyan,15905517,TE/FLEX,4200,GB@DET 12/13/2020 04:25PM ET,GB,12.61
149,TE,Noah Fant (15905519),Noah Fant,15905519,TE/FLEX,4100,DEN@CAR 12/13/2020 01:00PM ET,DEN,9.74
150,TE,Dallas Goedert (15905521),Dallas Goedert,15905521,TE/FLEX,4000,NO@PHI 12/13/2020 04:25PM ET,PHI,12.05
151,TE,Jonnu Smith (15905523),Jonnu Smith,15905523,TE/FLEX,3900,TEN@JAX 12/13/2020 01:00PM ET,TEN,11.19
152,TE,Jared Cook (15905525),Jared Cook,15905525,TE/FLEX,3800,NO@PHI 12/13/2020 04:25PM ET,NO,7.76
153,TE,Zach Ertz (15905529),Zach Ertz,15905529,TE/FLEX,3700,NO@PHI 12/13/2020 04:25PM ET,PHI,7.84
